loss_rate,trial,duration_ms,file_size_bytes,throughput_mbps,1_over_sqrt_p
0.0001,1,7887,10485760,10.63599340687207,100.0
0.0001,2,7881,10485760,10.644090851414795,100.0
0.0001,3,7852,10485760,10.683402954661231,100.0
0.0001,4,7879,10485760,10.646792740195457,100.0
0.0001,5,7884,10485760,10.640040588533738,100.0
0.0001,6,7832,10485760,10.710684371807968,100.0
0.0001,7,7833,10485760,10.709316992212436,100.0
0.0001,8,7984,10485760,10.50677354709419,100.0
0.0001,9,7831,10485760,10.712052100625717,100.0
0.0001,10,8382,10485760,10.007883560009544,100.0
0.0001,11,8439,10485760,9.940286763834576,100.0
0.0001,12,7857,10485760,10.676604301896397,100.0
0.0001,13,7834,10485760,10.707949961705387,100.0
0.0001,14,7835,10485760,10.70658328015316,100.0
0.0001,15,7287,10485760,11.511744202003568,100.0
0.0002,1,7831,10485760,10.712052100625717,70.71067811865476
0.0002,2,8040,10485760,10.433592039800995,70.71067811865476
0.0002,3,7252,10485760,11.567302813017099,70.71067811865476
0.0002,4,7830,10485760,10.71342017879949,70.71067811865476
0.0002,5,7835,10485760,10.70658328015316,70.71067811865476
0.0002,6,7837,10485760,10.703850963378844,70.71067811865476
0.0002,7,7832,10485760,10.710684371807968,70.71067811865476
0.0002,8,7883,10485760,10.641390333629328,70.71067811865476
0.0002,9,8341,10485760,10.057077089078048,70.71067811865476
0.0002,10,8006,10485760,10.477901573819635,70.71067811865476
0.0002,11,7286,10485760,11.513324183365357,70.71067811865476
0.0002,12,8087,10485760,10.37295412390256,70.71067811865476
0.0002,13,7838,10485760,10.702485327889768,70.71067811865476
0.0002,14,7837,10485760,10.703850963378844,70.71067811865476
0.0002,15,7887,10485760,10.63599340687207,70.71067811865476
0.0005,1,7988,10485760,10.501512268402603,44.721359549995796
0.0005,2,8786,10485760,9.547698611427272,44.721359549995796
0.0005,3,8906,10485760,9.41905232427577,44.721359549995796
0.0005,4,8737,10485760,9.601245278699782,44.721359549995796
0.0005,5,7947,10485760,10.555691455895307,44.721359549995796
0.0005,6,8038,10485760,10.436188106494154,44.721359549995796
0.0005,7,8350,10485760,10.046237125748505,44.721359549995796
0.0005,8,7886,10485760,10.637342125285317,44.721359549995796
0.0005,9,8840,10485760,9.48937556561086,44.721359549995796
0.0005,10,8385,10485760,10.004302921884317,44.721359549995796
0.0005,11,7833,10485760,10.709316992212436,44.721359549995796
0.0005,12,8844,10485760,9.485083672546361,44.721359549995796
0.0005,13,8693,10485760,9.64984240193259,44.721359549995796
0.0005,14,8889,10485760,9.437066036674542,44.721359549995796
0.0005,15,8188,10485760,10.245002442598924,44.721359549995796
0.001,1,8890,10485760,9.436004499437571,31.622776601683796
0.001,2,8087,10485760,10.37295412390256,31.622776601683796
0.001,3,8738,10485760,9.60014648661021,31.622776601683796
0.001,4,9494,10485760,8.83569412260375,31.622776601683796
0.001,5,8336,10485760,10.063109404990403,31.622776601683796
0.001,6,8682,10485760,9.66206864777701,31.622776601683796
0.001,7,8692,10485760,9.650952600092038,31.622776601683796
0.001,8,7890,10485760,10.631949302915084,31.622776601683796
0.001,9,8138,10485760,10.30794789874662,31.622776601683796
0.001,10,8042,10485760,10.430997264362098,31.622776601683796
0.001,11,8238,10485760,10.182821073075988,31.622776601683796
0.001,12,8740,10485760,9.59794965675057,31.622776601683796
0.001,13,8038,10485760,10.436188106494154,31.622776601683796
0.001,14,8596,10485760,9.75873429502094,31.622776601683796
0.001,15,8131,10485760,10.31682203910958,31.622776601683796
0.002,1,8731,10485760,9.607843316916734,22.360679774997898
0.002,2,9181,10485760,9.136921903932034,22.360679774997898
0.002,3,8882,10485760,9.44450349020491,22.360679774997898
0.002,4,8282,10485760,10.128722530789664,22.360679774997898
0.002,5,8901,10485760,9.424343332209865,22.360679774997898
0.002,6,9585,10485760,8.751808033385496,22.360679774997898
0.002,7,8833,10485760,9.496895731914412,22.360679774997898
0.002,8,8833,10485760,9.496895731914412,22.360679774997898
0.002,9,9088,10485760,9.230422535211268,22.360679774997898
0.002,10,10942,10485760,7.666430268689454,22.360679774997898
0.002,11,11892,10485760,7.053992600067272,22.360679774997898
0.002,12,9442,10485760,8.884355009531879,22.360679774997898
0.002,13,9034,10485760,9.28559663493469,22.360679774997898
0.002,14,8881,10485760,9.445566940659836,22.360679774997898
0.002,15,9037,10485760,9.282514108664378,22.360679774997898
0.005,1,14748,10485760,5.687963113642528,14.142135623730951
0.005,2,14654,10485760,5.72444929712024,14.142135623730951
0.005,3,11539,10485760,7.269787676575094,14.142135623730951
0.005,4,17477,10485760,4.7997985924357724,14.142135623730951
0.005,5,9995,10485760,8.3928044022011,14.142135623730951
0.005,6,11086,10485760,7.56684827710626,14.142135623730951
0.005,7,19062,10485760,4.4006966740111215,14.142135623730951
0.005,8,9632,10485760,8.709102990033223,14.142135623730951
0.005,9,12911,10485760,6.497256602896755,14.142135623730951
0.005,10,14152,10485760,5.927507066139062,14.142135623730951
0.005,11,12448,10485760,6.738920308483291,14.142135623730951
0.005,12,13450,10485760,6.236883271375465,14.142135623730951
0.005,13,18322,10485760,4.57843466870429,14.142135623730951
0.005,14,12187,10485760,6.883242799704604,14.142135623730951
0.005,15,11937,10485760,7.027400519393483,14.142135623730951
0.01,1,13041,10485760,6.432488306111494,10.0
0.01,2,15647,10485760,5.361160605866939,10.0
0.01,3,20562,10485760,4.07966540219823,10.0
0.01,4,24481,10485760,3.4265789796168455,10.0
0.01,5,22095,10485760,3.796609187599005,10.0
0.01,6,16616,10485760,5.048512277323063,10.0
